epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.575,1.79173,1.66371,1.0069,0.33828,0.26022,0.21153,0.11531,1.63451,1.29888,0.94325,0.000237779,0.000237779,0.000237779
2,320.869,1.70196,1.28796,0.95819,0.39252,0.28286,0.24972,0.13815,1.59459,1.19081,0.93545,0.000460079,0.000460079,0.000460079
3,464.079,1.67963,1.25772,0.948,0.38985,0.30149,0.26679,0.14827,1.55406,1.14799,0.92487,0.00066667,0.00066667,0.00066667
4,607.539,1.64967,1.22157,0.93755,0.42342,0.30338,0.27918,0.15567,1.52669,1.13687,0.90929,0.000643314,0.000643314,0.000643314
5,770.386,1.61209,1.18594,0.93085,0.41225,0.3243,0.29218,0.16303,1.51163,1.08992,0.90546,0.000619752,0.000619752,0.000619752
6,944.321,1.59415,1.16088,0.92543,0.43883,0.33794,0.31147,0.17623,1.49488,1.07711,0.90328,0.00059619,0.00059619,0.00059619
7,1186.72,1.58863,1.13737,0.92182,0.43832,0.34836,0.32381,0.18208,1.48045,1.04425,0.89971,0.000572628,0.000572628,0.000572628
8,1420.62,1.57792,1.12031,0.91706,0.4557,0.35271,0.33453,0.18963,1.46083,1.01556,0.8943,0.000549066,0.000549066,0.000549066
9,1651.79,1.56266,1.10309,0.91258,0.47604,0.36179,0.34584,0.19615,1.44913,1.01287,0.89238,0.000525504,0.000525504,0.000525504
10,1896.13,1.55206,1.09123,0.90996,0.48086,0.36585,0.35201,0.20002,1.44021,0.9943,0.89065,0.000501942,0.000501942,0.000501942
11,2127.88,1.53966,1.08287,0.90822,0.47327,0.36537,0.34961,0.19911,1.43834,0.99791,0.89086,0.00047838,0.00047838,0.00047838
12,2363.21,1.53195,1.06955,0.90772,0.48444,0.3712,0.35696,0.20324,1.42286,0.98024,0.88466,0.000454818,0.000454818,0.000454818
13,2609.17,1.51751,1.05425,0.9053,0.49602,0.37961,0.36751,0.21177,1.41162,0.96435,0.88299,0.000431256,0.000431256,0.000431256
14,2838.76,1.51159,1.0481,0.90047,0.50187,0.38171,0.37258,0.21435,1.4015,0.96406,0.88173,0.000407694,0.000407694,0.000407694
15,3068.82,1.50337,1.0365,0.89986,0.50744,0.3887,0.37986,0.21946,1.39295,0.94111,0.8788,0.000384132,0.000384132,0.000384132
16,3310.24,1.49787,1.02646,0.89546,0.50497,0.39284,0.38371,0.22119,1.38593,0.93872,0.87707,0.00036057,0.00036057,0.00036057
17,3543.49,1.48628,1.0181,0.89563,0.51521,0.39602,0.39174,0.22545,1.37975,0.92634,0.87691,0.000337008,0.000337008,0.000337008
18,3781.03,1.48413,1.00895,0.89267,0.51671,0.39745,0.39237,0.2263,1.37502,0.92222,0.87428,0.000313446,0.000313446,0.000313446
19,4022.99,1.4747,0.99775,0.89291,0.5233,0.40051,0.39653,0.22994,1.37341,0.91114,0.87401,0.000289884,0.000289884,0.000289884
20,4252.79,1.46953,0.99193,0.89035,0.53044,0.40407,0.40514,0.23563,1.35895,0.90065,0.87125,0.000266322,0.000266322,0.000266322
21,4483.76,1.41067,0.948,0.89189,0.52571,0.40513,0.40351,0.23473,1.36743,0.90717,0.8717,0.00024276,0.00024276,0.00024276
22,4728.71,1.40181,0.93785,0.88817,0.53826,0.40835,0.41082,0.23818,1.36187,0.89903,0.87086,0.000219198,0.000219198,0.000219198
23,4956.89,1.39635,0.92572,0.88703,0.5376,0.41023,0.4132,0.24035,1.35773,0.88938,0.86964,0.000195636,0.000195636,0.000195636
24,5186.1,1.38287,0.91513,0.8841,0.53972,0.41739,0.41923,0.24411,1.35144,0.88207,0.86916,0.000172074,0.000172074,0.000172074
25,5416.72,1.37602,0.90486,0.88362,0.54083,0.42051,0.42338,0.24716,1.34076,0.87314,0.86644,0.000148512,0.000148512,0.000148512
26,5650.57,1.3679,0.89536,0.88157,0.55042,0.41903,0.42514,0.24932,1.33485,0.86977,0.8644,0.00012495,0.00012495,0.00012495
27,5809.33,1.3657,0.88878,0.88036,0.55752,0.42262,0.43113,0.25285,1.33176,0.86166,0.86338,0.000101388,0.000101388,0.000101388
28,5948.71,1.3594,0.87971,0.87899,0.55853,0.4281,0.43544,0.25642,1.32206,0.85309,0.86191,7.7826e-05,7.7826e-05,7.7826e-05
29,6089.27,1.35205,0.87173,0.87645,0.56035,0.42964,0.43882,0.25841,1.32028,0.84768,0.86186,5.4264e-05,5.4264e-05,5.4264e-05
30,6228.57,1.34298,0.8638,0.87523,0.56638,0.43032,0.4404,0.25972,1.31696,0.84256,0.86108,3.0702e-05,3.0702e-05,3.0702e-05
